=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.09.19 12:16:03 =~=~=~=~=~=~=~=~=~=~=~=
Angle(Degrees)  Distance(m)
  0    76
002    14
004    46
006    26
008    26
010    26
012    27
014    28
016    28
018    28
020    28
022    28
024    28
026    51
028    47
030    29
032    28
034    29
036    28
038    28
040    28
042    46
044    47
046    58
048    18
050    17
052    17
054    69
056    15
058    15
060    15
062    15
064    14
066    15
068    14
070    14
072    14
074    14
076    14
078    14
080    14
082    14
084    13
086    13
088    13
090    13
092    13
094    14
096    14
098    14
100    14
102    14
104    14
106    14
108    15
110    15
112    14
114    15
116    14
118    15
120    16
122    16
124    88
126    17
128    17
130    18
132    28
134    92
136   100
138   133
140   109
142    63
144    75
146    76
148   143
150    96
152    82
154    89
156    98
158   117
160    82
162    43
164    31
166    54
168   130
170    71
172    53
174    51
176    64
178    62
180    49
